Algorithm, Turns, Exit Status, Number of Ones, Number of Twos, Number of Threes
norisk  -global7,12,1,8,3,1,
norisk  7,15,1,13,0,2,
norisk  7,5,0,3,2,0,
norisk  7,0,2,0,0,0,
norisk  7,3,1,0,2,1,
norisk  7,10,0,7,3,0,
norisk  7,2,2,1,0,1,
norisk  7,13,1,11,0,2,
norisk  7,7,2,5,0,1,
norisk  7,2,2,2,0,0,
norisk  7,5,0,5,0,0,
norisk  7,9,1,7,0,2,
norisk  7,17,0,13,4,0,
norisk  7,9,0,6,3,0,
norisk  7,4,2,3,0,1,
norisk  7,17,1,14,2,1,
norisk  7,6,2,6,0,0,
norisk  7,0,2,0,0,0,
norisk  7,4,2,4,0,0,
norisk  7,0,2,0,0,0,
norisk  7,10,0,6,4,0,
norisk  7,7,2,5,1,1,
norisk  7,4,2,4,0,0,
norisk  7,10,0,10,0,0,
norisk  7,17,1,14,3,0,
norisk  7,6,2,5,0,1,
norisk  7,14,0,10,4,0,
norisk  7,1,2,1,0,0,
norisk  7,15,2,12,2,1,
norisk  7,3,2,2,1,0,
norisk  7,11,2,9,0,2,
norisk  7,5,2,4,0,1,
norisk  7,7,2,5,1,1,
norisk  7,2,2,2,0,0,
norisk  7,11,1,9,0,2,
norisk  7,16,1,12,3,1,
norisk  7,5,0,4,1,0,
norisk  7,0,2,0,0,0,
norisk  7,10,2,7,3,0,
norisk  7,7,0,4,3,0,
norisk  7,5,0,5,0,0,
norisk  7,8,2,6,2,0,
norisk  7,13,1,10,2,1,
norisk  7,11,1,7,3,1,
norisk  7,10,0,9,1,0,
norisk  7,8,2,5,2,0,
norisk  7,15,0,13,2,0,
norisk  7,12,0,11,0,1,
norisk  7,4,2,2,2,0,
norisk  7,0,2,0,0,0,
norisk  7,14,0,11,1,2,
norisk  7,0,2,0,0,0,
norisk  7,5,0,4,1,0,
norisk  7,7,1,4,3,0,
norisk  7,9,2,7,1,1,
norisk  7,16,0,13,2,1,
norisk  7,9,2,7,1,1,
norisk  7,10,2,7,0,2,
norisk  7,5,2,4,0,0,
norisk  7,17,1,13,4,0,
norisk  7,2,2,2,0,0,
norisk  7,4,2,2,1,1,
norisk  7,15,1,13,0,2,
norisk  7,13,0,11,2,0,
norisk  7,12,0,12,0,0,
norisk  7,18,1,15,2,1,
norisk  7,9,0,7,2,0,
norisk  7,1,2,1,0,0,
norisk  7,0,2,0,0,0,
norisk  7,10,1,6,4,0,
norisk  7,11,0,9,2,0,
norisk  7,17,0,14,2,1,
norisk  7,2,2,1,0,1,
norisk  7,5,1,2,2,1,
norisk  7,12,2,10,1,0,
norisk  7,2,2,2,0,0,
norisk  7,17,1,14,2,1,
norisk  7,15,1,11,3,1,
norisk  7,5,0,5,0,0,
norisk  7,2,2,1,0,1,
norisk  7,17,1,14,2,1,
norisk  7,8,0,7,0,1,
norisk  7,2,2,1,0,1,
norisk  7,2,2,1,0,1,
norisk  7,2,2,1,0,1,
norisk  7,15,0,11,4,0,
norisk  7,12,1,10,0,2,
norisk  7,0,2,0,0,0,
norisk  7,4,2,2,1,0,
norisk  7,2,2,1,0,1,
norisk  7,8,1,4,4,0,
norisk  7,2,2,2,0,0,
norisk  7,8,1,5,2,1,
norisk  7,2,2,1,0,0,
norisk  7,13,1,10,3,0,
norisk  7,1,2,0,1,0,
norisk  7,16,0,13,3,0,
norisk  7,8,2,6,1,1,
norisk  7,3,2,2,0,1,
norisk  7,8,1,6,0,2,
norisk  7,7,1,5,0,2,
norisk  7,11,0,7,4,0,
norisk  7,0,0,0,0,0,
norisk  7,6,2,5,0,1,
norisk  7,6,2,5,0,0,
norisk  7,6,2,6,0,0,
norisk  7,11,2,9,1,0,
norisk  7,2,0,0,0,2,
norisk  7,1,2,1,0,0,
norisk  7,1,0,1,0,0,
norisk  7,2,2,2,0,0,
norisk  7,15,1,12,2,1,
norisk  7,6,2,5,0,1,
norisk  7,8,2,7,0,1,
norisk  7,2,2,2,0,0,
norisk  7,16,0,12,4,0,
norisk  7,3,1,1,0,2,
norisk  7,10,0,9,1,0,
norisk  7,18,1,15,1,2,
norisk  7,18,1,14,3,1,
norisk  7,17,2,13,2,1,
norisk  7,16,2,12,2,1,
norisk  7,9,0,7,2,0,
norisk  7,16,2,14,0,1,
norisk  7,5,0,5,0,0,
norisk  7,14,0,13,0,1,
norisk  7,8,1,6,0,2,
norisk  7,13,1,11,0,2,
norisk  7,7,2,5,1,1,
norisk  7,15,1,11,4,0,
norisk  7,10,0,8,2,0,
norisk  7,6,2,4,1,1,
norisk  7,0,2,0,0,0,
norisk  7,18,1,16,0,2,
norisk  7,1,0,1,0,0,
norisk  7,1,0,1,0,0,
norisk  7,8,1,4,3,1,
norisk  7,0,2,0,0,0,
norisk  7,11,2,10,1,0,
norisk  7,10,0,8,2,0,
norisk  7,11,2,8,2,1,
norisk  7,17,1,13,4,0,
norisk  7,3,2,1,2,0,
norisk  7,7,2,5,2,0,
norisk  7,5,0,5,0,0,
norisk  7,5,2,5,0,0,
norisk  7,5,2,3,1,1,
norisk  7,10,1,7,3,0,
norisk  7,9,0,7,2,0,
norisk  7,0,0,0,0,0,
norisk  7,3,2,2,0,1,
norisk  7,17,0,13,4,0,
norisk  7,6,2,5,0,1,
norisk  7,9,1,6,2,1,
norisk  7,9,2,6,2,0,
norisk  7,12,2,8,2,1,
norisk  7,1,0,1,0,0,
norisk  7,0,2,0,0,0,
norisk  7,3,2,2,0,1,
norisk  7,15,1,12,2,1,
norisk  7,6,0,6,0,0,
norisk  7,15,0,11,4,0,
norisk  7,16,1,12,3,1,
norisk  7,6,0,4,2,0,
norisk  7,2,2,1,0,1,
norisk  7,12,0,11,0,1,
norisk  7,8,2,6,1,1,
norisk  7,10,2,8,0,2,
norisk  7,4,2,3,0,0,
norisk  7,2,2,1,0,1,
norisk  7,14,0,14,0,0,
norisk  7,16,1,12,4,0,
norisk  7,5,0,4,1,0,
norisk  7,5,2,4,0,0,
norisk  7,9,2,7,1,0,
norisk  7,17,1,14,1,2,
norisk  7,8,2,4,3,1,
