strategy, board num, time (ns), ticks
minrisk,0,45,3339
minrisk,1,20,976
minrisk,2,20,1763
minrisk,3,15,625
minrisk,4,10,1124
minrisk,5,10,608
minrisk,6,10,616
minrisk,7,15,915
minrisk,8,15,802
minrisk,9,10,964
minrisk,10,15,681
minrisk,11,10,703
minrisk,12,10,1302
minrisk,13,15,589
minrisk,14,10,964
minrisk,15,15,790
minrisk,16,10,930
minrisk,17,10,1302
minrisk,18,10,816
minrisk,19,15,996
minrisk,20,10,807
minrisk,21,20,4084
minrisk,22,10,605
minrisk,23,15,1527
minrisk,24,20,894
minrisk,25,15,788
minrisk,26,15,2058
minrisk,27,15,1302
minrisk,28,15,1142
minrisk,29,15,806
minrisk,30,15,772
minrisk,31,15,964
minrisk,32,20,984
minrisk,33,20,916
minrisk,34,10,1486
minrisk,35,10,589
minrisk,36,10,930
minrisk,37,15,805
minrisk,38,10,775
minrisk,39,15,984
minrisk,40,15,3450
minrisk,41,10,635
minrisk,42,33,996
minrisk,43,12,897
minrisk,44,15,718
minrisk,45,10,577
minrisk,46,10,1094
minrisk,47,20,631
minrisk,48,10,589
minrisk,49,15,900
minrisk,50,10,984
minrisk,51,15,1749
minrisk,52,15,528
minrisk,53,10,456
minrisk,54,10,773
minrisk,55,15,775
minrisk,56,5,1016
minrisk,57,10,804
minrisk,58,20,701
minrisk,59,10,863
minrisk,60,10,1354
minrisk,61,10,651
minrisk,62,10,681
minrisk,63,22,904
minrisk,64,18,797
minrisk,65,19,597
minrisk,66,11,1837
minrisk,67,15,984
minrisk,68,15,3769
minrisk,69,15,840
minrisk,70,10,1288
minrisk,71,10,609
minrisk,72,15,2624
minrisk,73,10,976
minrisk,74,15,907
minrisk,75,10,1064
minrisk,76,10,602
minrisk,77,10,900
minrisk,78,15,905
minrisk,79,15,704
minrisk,80,15,741
minrisk,81,10,668
minrisk,82,15,946
minrisk,83,10,787
minrisk,84,15,1288
minrisk,85,10,824
minrisk,86,20,2748
minrisk,87,10,1222
minrisk,88,15,770
minrisk,89,10,589
minrisk,90,10,718
minrisk,91,15,908
minrisk,92,15,4341
minrisk,93,10,697
minrisk,94,10,790
minrisk,95,15,1464
minrisk,96,10,976
minrisk,97,10,668
minrisk,98,15,911
minrisk,99,10,888
,,,
strategy, board num, time (ns), ticks
minrisk,0,43,7247
minrisk,1,20,2363
minrisk,2,20,6859
minrisk,3,17,40773
minrisk,4,8,912
minrisk,5,15,1823
minrisk,6,20,14239
minrisk,7,15,49463
minrisk,8,15,1725
minrisk,9,10,3033
minrisk,10,25,14330
minrisk,11,15,7089
minrisk,12,15,2276
minrisk,13,20,71134
minrisk,14,20,3850
minrisk,15,22,46082
minrisk,16,23,30546
minrisk,17,20,33050
minrisk,18,25,9066
minrisk,19,15,12556
minrisk,20,25,281311
minrisk,21,15,18198
minrisk,22,20,5266
minrisk,23,10,4500
minrisk,24,15,10967
minrisk,25,20,19032
minrisk,26,12,13503
minrisk,27,18,7851
minrisk,28,15,4292
minrisk,29,15,6471
minrisk,30,20,7480
minrisk,31,20,9183
minrisk,32,12,5003
minrisk,33,23,6972
minrisk,34,20,8153
